function,dimension,samples,top_m,feature_stability_f1,feature_edge_hybrid_f1,single_feature_f1,single_grad_f1,rf_f1,oracle_f1,random_f1,feature_minus_rf,hybrid_minus_rf,feature_minus_single_feature,feature_minus_single_grad,feature_minus_random,feature_oracle_gap
core_interaction_c025,100,512,4,0.7,0.8,,,0.0,0.6,0.0,0.7,0.8,,,0.7,-0.09999999999999998
core_interaction_c025,100,1024,4,0.6,0.7,,,0.0,0.4444444444444444,,0.6,0.7,,,,-0.15555555555555556
core_interaction_c025,100,1024,5,0.7,0.8,,,,,,,,,,,
core_interaction_c025,100,1024,6,0.75,0.55,,,,,,,,,,,
core_interaction_c025,100,2048,6,0.8,0.8,,,,,,,,,,,
core_interaction_c025,500,2048,6,0.25,0.5,,,,,,,,,,,
core_interaction_c025,1000,2048,6,0.0,0.0,,,,,,,,,,,
core_interaction_c05,100,512,4,0.7,0.8,,,,,,,,,,,
core_interaction_c05,100,512,5,0.9,0.8,,,,,,,,,,,
core_interaction_c05,100,512,6,0.9,0.7,,,,,,,,,,,
core_interaction_c05,100,1024,5,0.9,1.0,,,,,,,,,,,
core_interaction_c05,500,1024,6,0.0,0.0,,,,,,,,,,,
core_interaction_c05,1000,1024,6,0.0,0.0,,,,,,,,,,,
core_interaction_c1,100,512,4,1.0,1.0,,,,,,,,,,,
core_interaction_c1,100,512,5,1.0,1.0,,,,,,,,,,,
core_interaction_c1,500,1024,6,1.0,1.0,,,,,,,,,,,
core_interaction_c1,1000,1024,6,0.0,0.0,,,,,,,,,,,
feynman_coulomb,100,1024,5,1.0,1.0,,,,,,,,,,,
feynman_energy,100,1024,4,1.0,1.0,,,,,,,,,,,
feynman_gravity,100,1024,5,1.0,1.0,,,,,,,,,,,
