source_file,function,explain_method,pair,is_true_interaction,selection_frequency
compositional.csv,compositional,grad,"(0, 1)",1,1.0
compositional.csv,compositional,perm,"(0, 1)",1,1.0
core_d100_noise00_interactions.csv,core_interaction,grad,"(0, 1)",0,0.4
core_d100_noise00_interactions.csv,core_interaction,grad,"(0, 17)",0,0.2
core_d100_noise00_interactions.csv,core_interaction,grad,"(0, 20)",0,0.2
core_d100_noise00_interactions.csv,core_interaction,grad,"(0, 91)",0,0.2
core_d100_noise00_interactions.csv,core_interaction,grad,"(2, 3)",1,0.0
core_d100_noise00_interactions.csv,core_interaction,perm,"(0, 1)",0,0.6
core_d100_noise00_interactions.csv,core_interaction,perm,"(0, 48)",0,0.2
core_d100_noise00_interactions.csv,core_interaction,perm,"(0, 79)",0,0.2
core_d100_noise00_interactions.csv,core_interaction,perm,"(2, 3)",1,0.0
core_interaction_with_interactions.csv,core_interaction,grad,"(2, 3)",1,1.0
core_interaction_with_interactions.csv,core_interaction,perm,"(2, 3)",1,1.0
core_d100_c05.csv,core_interaction_c05,grad,"(0, 1)",0,1.0
core_d100_c05.csv,core_interaction_c05,grad,"(2, 3)",1,0.0
core_d100_c05.csv,core_interaction_c05,perm,"(0, 1)",0,0.8
core_d100_c05.csv,core_interaction_c05,perm,"(0, 46)",0,0.2
core_d100_c05.csv,core_interaction_c05,perm,"(2, 3)",1,0.0
core_d100_c1.csv,core_interaction_c1,grad,"(0, 1)",0,0.6
core_d100_c1.csv,core_interaction_c1,grad,"(0, 17)",0,0.2
core_d100_c1.csv,core_interaction_c1,grad,"(0, 91)",0,0.2
core_d100_c1.csv,core_interaction_c1,grad,"(2, 3)",1,0.0
core_d100_c1.csv,core_interaction_c1,perm,"(0, 1)",0,0.6
core_d100_c1.csv,core_interaction_c1,perm,"(0, 79)",0,0.4
core_d100_c1.csv,core_interaction_c1,perm,"(2, 3)",1,0.0
core_d100_c2.csv,core_interaction_c2,grad,"(0, 1)",0,0.2
core_d100_c2.csv,core_interaction_c2,grad,"(0, 6)",0,0.2
core_d100_c2.csv,core_interaction_c2,grad,"(0, 70)",0,0.2
core_d100_c2.csv,core_interaction_c2,grad,"(2, 3)",1,0.0
core_d100_c2.csv,core_interaction_c2,grad,"(2, 7)",0,0.2
core_d100_c2.csv,core_interaction_c2,grad,"(81, 97)",0,0.2
core_d100_c2.csv,core_interaction_c2,perm,"(0, 23)",0,0.2
core_d100_c2.csv,core_interaction_c2,perm,"(0, 75)",0,0.2
core_d100_c2.csv,core_interaction_c2,perm,"(0, 88)",0,0.2
core_d100_c2.csv,core_interaction_c2,perm,"(0, 89)",0,0.2
core_d100_c2.csv,core_interaction_c2,perm,"(2, 3)",1,0.0
core_d100_c2.csv,core_interaction_c2,perm,"(72, 92)",0,0.2
core_d100_c5.csv,core_interaction_c5,grad,"(0, 3)",0,0.2
core_d100_c5.csv,core_interaction_c5,grad,"(0, 5)",0,0.2
core_d100_c5.csv,core_interaction_c5,grad,"(0, 44)",0,0.2
core_d100_c5.csv,core_interaction_c5,grad,"(0, 82)",0,0.2
core_d100_c5.csv,core_interaction_c5,grad,"(2, 3)",1,0.0
core_d100_c5.csv,core_interaction_c5,grad,"(27, 81)",0,0.2
core_d100_c5.csv,core_interaction_c5,perm,"(0, 20)",0,0.2
core_d100_c5.csv,core_interaction_c5,perm,"(0, 44)",0,0.2
core_d100_c5.csv,core_interaction_c5,perm,"(0, 50)",0,0.2
core_d100_c5.csv,core_interaction_c5,perm,"(0, 66)",0,0.2
core_d100_c5.csv,core_interaction_c5,perm,"(2, 3)",1,0.0
core_d100_c5.csv,core_interaction_c5,perm,"(27, 81)",0,0.2
